ASIN,title,price,rating,review_count
B07M8QVNKG,"HP Chromebook 14-inch Laptop with 180-Degree Swivel, AMD Dual-Core A4-9120 Processor, 4 GB SDRAM, 32 GB eMMC Storage, Chrome OS (14-db0020nr, Chalkboard Gray)",251.0,4.3,1488
B088TPHFH1,"Fanless Mini PC Intel Atom x5-Z8350 Processor Windows 10 Quad Core CPU 4GB DDR/64GB eMMC Mini Desktop Computer HDMI and VGA Ports 2.4/5.8G Dual WiFi BT4.1 USB3.0, Auto Power On",139.99,5.0,7
B012UGC5D6,Plantronics 201851-01 DA70 USB Audio Processor,40.35,4.8,24
B00VF0RYK8,"Braun FP3020 12 Cup Food Processor Ultra Quiet Powerful motor, includes 7 Attachment Blades + Chopper and Citrus Juicer , Made in Europe with German Engineering",169.99,4.4,1244
B01FJLA8NI,"Intel Boxed Core i7-6800K Processor (15M Cache, up to 3.60 GHz) FCLGA2011-3 (BX80671I76800K)",360.0,4.4,222
B0793BQS3R,Intel Pentium Gold G5400 Desktop Processor 2 Core 3.7GHz LGA1151 300 Series 54W/58W BX80684G5400,0.0,4.5,250
B07NJJ9749,"Latest_Dell Inspiron 2-in-1 5000 14.0"" HD LED-Backlit Touchscreen High Performance Laptop, Intel Core i3-8145U Processor,8GB DDR4 RAM,256GB Solid State Drive, Wifi+Bluetooth, HDMI, USB 3.1, Windows 10",519.0,4.1,35
B078Z3TN7X,"Acer Chromebook R11 CB5-132T-C67Q Touch Screen Chromebook with Intel Celeron N3060 Processor, 11.6"" IPS Multitouch Screen 4GB Memory, 32GB SSD and Google Chrome OS",400.0,4.2,32
B088K23635,"2020 Dell Inspiron 3000 15.6-inch HD Touchscreen Laptop PC, Intel 10th Gen Dual Core i3-1005G1 Processor, 8GB DDR4, 128GB SSD, 1TB HDD, Bluetooth, Windows 10, Black",466.0,4.3,15
B088ZRQ55G,ASROCK H470 Steel Legend Supports 10th Gen Intel Core Processors (Socket 1200) Motherboard,139.99,0.0,0
B07YLQZXKY,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,16.99,5.0,7
